Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
snip_2021_02_20_18_29_07_out.mp4,20.2.2021,18:28:46,LS1 Ausflug,-1,-1,0,1,S1,Anklam,20.2.2021,18:28:46,203,20/02/2021,203
snip_2021_02_20_18_52_33_out.mp4,20.2.2021,18:52:12,LS1 Ausflug,-1,-1,0,1,S1,Anklam,20.2.2021,18:52:12,203,20/02/2021,203
snip_2021_02_20_19_31_50_in.mp4,20.2.2021,19:31:28,LS1 Einflug,1,1,0,1,S1,Anklam,20.2.2021,19:31:28,203,20/02/2021,203
snip_2021_02_20_19_36_03_out.mp4,20.2.2021,19:35:42,LS1 Ausflug,-1,-1,0,1,S1,Anklam,20.2.2021,19:35:42,203,20/02/2021,203
snip_2021_02_20_19_56_23_in.mp4,20.2.2021,19:56:01,LS1 Einflug,1,-1,1,0,S1,Anklam,20.2.2021,19:56:01,203,20/02/2021,203
,20.2.2021,19:56:01,LS1 Einflug,1,1,1,1,S1,Anklam,20.2.2021,19:56:01,203,20/02/2021,203
,20.2.2021,19:56:01,LS1 Einflug,1,0,1,0,S1,Anklam,20.2.2021,19:56:01,203,20/02/2021,203
snip_2021_02_20_19_56_26_out.mp4,20.2.2021,19:56:04,LS1 Ausflug,-1,-1,0,1,S1,Anklam,20.2.2021,19:56:04,203,20/02/2021,203
snip_2021_02_20_19_56_30_in.mp4,20.2.2021,19:56:08,LS1 Einflug,1,1,0,1,S1,Anklam,20.2.2021,19:56:08,203,20/02/2021,203
snip_2021_02_20_19_58_50_in.mp4,20.2.2021,19:58:29,LS1 Einflug,1,1,0,1,S1,Anklam,20.2.2021,19:58:29,203,20/02/2021,203
snip_2021_02_20_20_09_03_out.mp4,20.2.2021,20:08:42,LS1 Ausflug,-1,-1,0,1,S1,Anklam,20.2.2021,20:08:42,203,20/02/2021,203
snip_2021_02_20_22_07_14_out.mp4,20.2.2021,22:06:54,LS1 Ausflug,-1,-1,0,1,S1,Anklam,20.2.2021,22:06:54,203,20/02/2021,203
snip_2021_02_20_22_57_17_out.mp4,20.2.2021,22:56:57,LS1 Ausflug,-1,-1,0,1,S1,Anklam,20.2.2021,22:56:57,203,20/02/2021,203
snip_2021_02_20_23_24_50_out.mp4,20.2.2021,23:24:30,LS1 Ausflug,-1,-1,0,1,S1,Anklam,20.2.2021,23:24:30,203,20/02/2021,203
snip_2021_02_20_23_49_20_out.mp4,20.2.2021,23:49:00,LS1 Ausflug,-1,-1,0,1,S1,Anklam,20.2.2021,23:49:00,203,20/02/2021,203
snip_2021_02_20_23_50_42_out.mp4,20.2.2021,23:50:22,LS1 Ausflug,0,1,1,0,S1,Anklam,20.2.2021,23:50:22,203,20/02/2021,203
,NA,NA,,-1,-1,1,1,S1,Anklam,20.2.2021,23:50:22,203,20/02/2021,203
snip_2021_02_21_00_00_49_out.mp4,21.2.2021,0:00:29,LS1 Ausflug,-1,-1,0,1,S1,Anklam,21.2.2021,0:00:29,204,20/02/2021,203
snip_2021_02_21_00_02_48_in.mp4,21.2.2021,0:02:28,LS1 Einflug,1,1,1,1,S1,Anklam,21.2.2021,0:02:28,204,20/02/2021,203
,21.2.2021,0:02:28,LS1 Ausflug,-1,-1,1,1,S1,Anklam,21.2.2021,0:02:28,204,20/02/2021,203
snip_2021_02_21_00_14_57_out.mp4,21.2.2021,0:14:37,LS1 Ausflug,-1,-1,0,1,S1,Anklam,21.2.2021,0:14:37,204,20/02/2021,203
snip_2021_02_21_02_48_33_out.mp4,21.2.2021,2:48:14,LS1 Ausflug,-1,-1,0,1,S1,Anklam,21.2.2021,2:48:14,204,20/02/2021,203
snip_2021_02_21_02_48_50_in.mp4,21.2.2021,2:48:31,LS1 Einflug,1,1,0,1,S1,Anklam,21.2.2021,2:48:31,204,20/02/2021,203
snip_2021_02_21_05_33_00_out.mp4,21.2.2021,5:32:41,LS1 Ausflug,-1,-1,0,1,S1,Anklam,21.2.2021,5:32:41,204,20/02/2021,203
,21.2.2021,16:31:57,LS1 Ausflug,NA,NA,NA,NA,S1,Anklam,21.2.2021,16:31:57,204,21/02/2021,204
snip_2021_02_21_17_57_26_out.mp4,21.2.2021,17:57:11,LS1 Ausflug,-1,-1,0,1,S1,Anklam,21.2.2021,17:57:11,204,21/02/2021,204
snip_2021_02_21_17_57_51_in.mp4,21.2.2021,17:57:36,LS1 Einflug,1,1,0,1,S1,Anklam,21.2.2021,17:57:36,204,21/02/2021,204
snip_2021_02_21_18_02_23_out.mp4,21.2.2021,18:02:08,LS1 Ausflug,-1,-1,0,1,S1,Anklam,21.2.2021,18:02:08,204,21/02/2021,204
snip_2021_02_21_18_02_40_in.mp4,21.2.2021,18:02:24,LS1 Einflug,1,1,0,1,S1,Anklam,21.2.2021,18:02:24,204,21/02/2021,204
