Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
snip_2021_02_20_18_30_28_out.mp4,20.2.2021,18:30:09,LS1 Ausflug,-1,-1,0,1,S1,Demmin,20.2.2021,18:30:09,203,20/02/2021,203
snip_2021_02_20_18_43_45_in.mp4,20.2.2021,18:43:26,LS1 Einflug,1,1,0,1,S1,Demmin,20.2.2021,18:43:26,203,20/02/2021,203
snip_2021_02_20_18_57_11_out.mp4,20.2.2021,18:56:52,LS1 Ausflug,-1,-1,0,1,S1,Demmin,20.2.2021,18:56:52,203,20/02/2021,203
snip_2021_02_20_20_25_42_in.mp4,20.2.2021,20:25:23,LS1 Einflug,1,1,0,1,S1,Demmin,20.2.2021,20:25:23,203,20/02/2021,203
snip_2021_02_20_20_35_59_out.mp4,20.2.2021,20:35:41,LS1 Ausflug,-1,-1,0,1,S1,Demmin,20.2.2021,20:35:41,203,20/02/2021,203
snip_2021_02_20_22_07_36_in.mp4,20.2.2021,22:07:18,LS1 Einflug,1,1,0,1,S1,Demmin,20.2.2021,22:07:18,203,20/02/2021,203
snip_2021_02_20_23_15_42_out.mp4,20.2.2021,23:15:24,LS1 Ausflug,-1,-1,0,1,S1,Demmin,20.2.2021,23:15:24,203,20/02/2021,203
snip_2021_02_20_23_35_42_out.mp4,20.2.2021,23:35:25,LS1 Ausflug,-1,-1,0,1,S1,Demmin,20.2.2021,23:35:25,203,20/02/2021,203
snip_2021_02_21_18_23_00_out.mp4,21.2.2021,18:22:47,LS1 Ausflug,-1,-1,0,1,S1,Demmin,21.2.2021,18:22:47,204,21/02/2021,204
snip_2021_02_21_18_47_47_in.mp4,21.2.2021,18:47:34,LS1 Einflug,1,1,0,1,S1,Demmin,21.2.2021,18:47:34,204,21/02/2021,204
snip_2021_02_21_18_48_25_out.mp4,21.2.2021,18:48:12,LS1 Ausflug,-1,-1,0,1,S1,Demmin,21.2.2021,18:48:12,204,21/02/2021,204
snip_2021_02_21_18_49_38_in.mp4,21.2.2021,18:49:25,LS1 Einflug,1,1,0,1,S1,Demmin,21.2.2021,18:49:25,204,21/02/2021,204
snip_2021_02_21_18_51_03_out.mp4,21.2.2021,18:50:50,LS1 Ausflug,-1,-1,0,1,S1,Demmin,21.2.2021,18:50:50,204,21/02/2021,204
snip_2021_02_21_18_53_44_in.mp4,21.2.2021,18:53:31,LS1 Einflug,1,1,0,1,S1,Demmin,21.2.2021,18:53:31,204,21/02/2021,204
snip_2021_02_21_18_55_05_out.mp4,21.2.2021,18:54:52,LS1 Ausflug,-1,-1,0,1,S1,Demmin,21.2.2021,18:54:52,204,21/02/2021,204
snip_2021_02_21_18_57_21_out.mp4,21.2.2021,18:57:09,LS1 Ausflug,-1,-1,0,1,S1,Demmin,21.2.2021,18:57:09,204,21/02/2021,204
snip_2021_02_21_19_04_06_in.mp4,21.2.2021,19:03:53,LS1 Einflug,1,1,0,1,S1,Demmin,21.2.2021,19:03:53,204,21/02/2021,204
snip_2021_02_21_19_58_44_out.mp4,21.2.2021,19:58:31,LS1 Ausflug,-1,-1,0,1,S1,Demmin,21.2.2021,19:58:31,204,21/02/2021,204
snip_2021_02_21_20_04_18_in.mp4,21.2.2021,20:04:05,LS1 Einflug,1,1,0,1,S1,Demmin,21.2.2021,20:04:05,204,21/02/2021,204
snip_2021_02_21_20_18_08_out.mp4,21.2.2021,20:17:55,LS1 Ausflug,-1,-1,0,1,S1,Demmin,21.2.2021,20:17:55,204,21/02/2021,204
snip_2021_02_21_20_22_31_in.mp4,21.2.2021,20:22:19,LS1 Einflug,1,1,0,1,S1,Demmin,21.2.2021,20:22:19,204,21/02/2021,204
snip_2021_02_21_20_22_32_in.mp4,21.2.2021,20:22:19,LS1 Einflug,1,1,0,1,S1,Demmin,21.2.2021,20:22:19,204,21/02/2021,204
