Video.file,Date,Time,Event,EventC,VideoC,Notes,X,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
snip_2020_08_21_20_55_30_out.mp4,21.8.2020,19:55:38,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,19:55:38,20,21/08/2020,20
snip_2020_08_21_20_57_33_out.mp4,21.8.2020,19:57:41,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,19:57:41,20,21/08/2020,20
snip_2020_08_21_20_57_47_out.mp4,21.8.2020,19:57:55,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,19:57:55,20,21/08/2020,20
snip_2020_08_21_20_58_36_out.mp4,21.8.2020,19:58:44,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,19:58:44,20,21/08/2020,20
snip_2020_08_21_21_13_06_out.mp4,21.8.2020,20:13:14,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:13:14,20,21/08/2020,20
snip_2020_08_21_21_16_43_out.mp4,21.8.2020,20:16:51,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:16:51,20,21/08/2020,20
snip_2020_08_21_21_21_48_out.mp4,21.8.2020,20:21:56,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:21:56,20,21/08/2020,20
snip_2020_08_21_21_22_31_out.mp4,21.8.2020,20:22:39,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:22:39,20,21/08/2020,20
snip_2020_08_21_21_23_49_in.mp4,21.8.2020,20:23:56,LS3 Einflug,1,1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:23:56,20,21/08/2020,20
snip_2020_08_21_21_28_25_out.mp4,21.8.2020,20:28:33,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:28:33,20,21/08/2020,20
snip_2020_08_21_21_36_12_in.mp4,21.8.2020,20:36:20,LS3 Einflug,1,1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:36:20,20,21/08/2020,20
snip_2020_08_21_21_37_09_out.mp4,21.8.2020,20:37:17,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:37:17,20,21/08/2020,20
snip_2020_08_21_21_37_17_out.mp4,21.8.2020,20:37:25,LS3 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:37:25,20,21/08/2020,20
snip_2020_08_21_21_37_19_in.mp4,21.8.2020,20:37:26,LS3 Einflug,1,1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:37:26,20,21/08/2020,20
snip_2020_08_21_21_39_41_in.mp4,21.8.2020,20:39:49,LS3 Einflug,1,1,,NA,NA,1,A4,Eldena_L8,21.8.2020,20:39:49,20,21/08/2020,20
