Video.file,Date,Time,Event,EventC,VideoC,Notes,X,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
snip_2020_08_21_20_46_48_out.mp4,21.8.2020,19:46:55,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:46:55,20,21/08/2020,20
snip_2020_08_21_20_48_46_in.mp4,21.8.2020,19:48:54,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,19:48:54,20,21/08/2020,20
snip_2020_08_21_20_55_30_out.mp4,21.8.2020,19:55:38,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:55:38,20,21/08/2020,20
snip_2020_08_21_20_56_15_out.mp4,21.8.2020,19:56:23,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:56:23,20,21/08/2020,20
,21.8.2020,19:56:23,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:56:23,20,21/08/2020,20
snip_2020_08_21_20_56_32_out.mp4,21.8.2020,19:56:40,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:56:40,20,21/08/2020,20
,21.8.2020,19:56:40,LS1 Ausflug,-1,0,,NA,NA,0,A4,Eldena_L16,21.8.2020,19:56:40,20,21/08/2020,20
snip_2020_08_21_20_56_33_in.mp4,21.8.2020,19:56:40,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:56:40,20,21/08/2020,20
snip_2020_08_21_20_57_03_out.mp4,21.8.2020,19:57:10,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:57:10,20,21/08/2020,20
snip_2020_08_21_20_57_03_in.mp4,21.8.2020,19:57:11,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:57:11,20,21/08/2020,20
snip_2020_08_21_20_57_33_out.mp4,21.8.2020,19:57:40,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:57:40,20,21/08/2020,20
snip_2020_08_21_20_57_43_in.mp4,21.8.2020,19:57:51,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,19:57:51,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:57:51,20,21/08/2020,20
snip_2020_08_21_20_57_47_out.mp4,21.8.2020,19:57:55,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:57:55,20,21/08/2020,20
snip_2020_08_21_20_58_36_out.mp4,21.8.2020,19:58:44,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,19:58:44,20,21/08/2020,20
snip_2020_08_21_21_02_43_in.mp4,21.8.2020,20:02:51,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:02:51,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:02:51,20,21/08/2020,20
snip_2020_08_21_21_13_06_out.mp4,21.8.2020,20:13:14,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:13:14,20,21/08/2020,20
snip_2020_08_21_21_14_20_in.mp4,21.8.2020,20:14:28,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:14:28,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:14:28,20,21/08/2020,20
snip_2020_08_21_21_16_43_out.mp4,21.8.2020,20:16:51,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:16:51,20,21/08/2020,20
,21.8.2020,20:16:51,LS1 Ausflug,-1,0,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:16:51,20,21/08/2020,20
snip_2020_08_21_21_17_39_out.mp4,21.8.2020,20:17:47,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:17:47,20,21/08/2020,20
snip_2020_08_21_21_17_40_in.mp4,21.8.2020,20:17:47,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:17:47,20,21/08/2020,20
snip_2020_08_21_21_17_55_out.mp4,21.8.2020,20:18:02,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:18:02,20,21/08/2020,20
snip_2020_08_21_21_17_55_in.mp4,21.8.2020,20:18:02,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:18:02,20,21/08/2020,20
snip_2020_08_21_21_21_48_out.mp4,21.8.2020,20:21:55,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:21:55,20,21/08/2020,20
snip_2020_08_21_21_22_31_out.mp4,21.8.2020,20:22:39,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:22:39,20,21/08/2020,20
snip_2020_08_21_21_22_58_out.mp4,21.8.2020,20:23:05,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:23:05,20,21/08/2020,20
,21.8.2020,20:23:05,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:23:05,20,21/08/2020,20
,21.8.2020,20:23:05,LS1 Einflug,1,0,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:23:05,20,21/08/2020,20
,21.8.2020,20:23:06,LS1 Einflug,1,0,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:23:06,20,21/08/2020,20
snip_2020_08_21_21_23_49_in.mp4,21.8.2020,20:23:57,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:23:57,20,21/08/2020,20
snip_2020_08_21_21_24_23_in.mp4,21.8.2020,20:24:30,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:24:30,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:24:30,20,21/08/2020,20
snip_2020_08_21_21_28_25_out.mp4,21.8.2020,20:28:33,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:28:33,20,21/08/2020,20
snip_2020_08_21_21_28_28_in.mp4,21.8.2020,20:28:36,LS1 Einflug,1,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:28:36,20,21/08/2020,20
snip_2020_08_21_21_28_29_out.mp4,21.8.2020,20:28:37,LS1 Ausflug,-1,1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:28:37,20,21/08/2020,20
,21.8.2020,20:28:37,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:28:37,20,21/08/2020,20
snip_2020_08_21_21_28_29_in.mp4,21.8.2020,20:28:37,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:28:37,20,21/08/2020,20
snip_2020_08_21_21_28_41_out.mp4,21.8.2020,20:28:49,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:28:49,20,21/08/2020,20
,,,,0,1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:28:49,20,21/08/2020,20
snip_2020_08_21_21_28_49_in.mp4,21.8.2020,20:28:56,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:28:56,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:28:56,20,21/08/2020,20
snip_2020_08_21_21_29_07_in.mp4,21.8.2020,20:29:15,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,20:29:15,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,20:29:15,20,21/08/2020,20
