Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
snip_2021_02_20_18_35_56_in.mp4,20.2.2021,18:35:56,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,20.2.2021,18:35:56,203,20/02/2021,203
snip_2021_02_20_18_35_56_out.mp4,20.2.2021,18:35:56,LS1 Einflug,1,1,1,1,S1,Eldena_L16,20.2.2021,18:35:56,203,20/02/2021,203
snip_2021_02_20_18_35_58_out.mp4,20.2.2021,18:35:58,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,20.2.2021,18:35:58,203,20/02/2021,203
snip_2021_02_20_18_48_59_in.mp4,20.2.2021,18:48:59,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,20.2.2021,18:48:59,203,20/02/2021,203
snip_2021_02_20_18_48_59_out.mp4,20.2.2021,18:48:59,LS1 Einflug,1,1,1,1,S1,Eldena_L16,20.2.2021,18:48:59,203,20/02/2021,203
snip_2021_02_20_19_15_03_in.mp4,20.2.2021,19:15:03,LS1 Einflug,1,1,0,1,S1,Eldena_L16,20.2.2021,19:15:03,203,20/02/2021,203
snip_2021_02_20_19_22_51_in.mp4,20.2.2021,19:22:51,LS1 Einflug,1,-1,1,0,S1,Eldena_L16,20.2.2021,19:22:51,203,20/02/2021,203
,20.2.2021,19:22:51,LS1 Einflug,1,1,1,1,S1,Eldena_L16,20.2.2021,19:22:51,203,20/02/2021,203
snip_2021_02_20_19_22_56_out.mp4,20.2.2021,19:22:57,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,20.2.2021,19:22:57,203,20/02/2021,203
snip_2021_02_20_19_22_57_in.mp4,20.2.2021,19:22:57,LS1 Einflug,1,1,1,1,S1,Eldena_L16,20.2.2021,19:22:57,203,20/02/2021,203
snip_2021_02_20_19_23_14_out.mp4,20.2.2021,19:23:14,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,20.2.2021,19:23:14,203,20/02/2021,203
,20.2.2021,19:23:14,LS1 Einflug,1,1,1,1,S1,Eldena_L16,20.2.2021,19:23:14,203,20/02/2021,203
snip_2021_02_20_19_54_10_in.mp4,20.2.2021,19:54:10,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,20.2.2021,19:54:10,203,20/02/2021,203
snip_2021_02_20_19_54_10_out.mp4,20.2.2021,19:54:11,LS1 Einflug,1,1,1,1,S1,Eldena_L16,20.2.2021,19:54:11,203,20/02/2021,203
snip_2021_02_20_20_06_10_in.mp4,20.2.2021,20:06:11,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,20.2.2021,20:06:11,203,20/02/2021,203
snip_2021_02_20_20_06_10_out.mp4,20.2.2021,20:06:11,LS1 Einflug,1,1,1,1,S1,Eldena_L16,20.2.2021,20:06:11,203,20/02/2021,203
snip_2021_02_20_20_59_19_out.mp4,20.2.2021,20:59:20,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,20.2.2021,20:59:20,203,20/02/2021,203
snip_2021_02_20_21_36_11_out.mp4,20.2.2021,21:36:12,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,20.2.2021,21:36:12,203,20/02/2021,203
snip_2021_02_20_21_36_13_out.mp4,20.2.2021,21:36:14,LS1 Ausflug,-1,0,0,0,S1,Eldena_L16,20.2.2021,21:36:14,203,20/02/2021,203
snip_2021_02_20_21_59_21_in.mp4,20.2.2021,21:59:22,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,20.2.2021,21:59:22,203,20/02/2021,203
snip_2021_02_20_21_59_21_out.mp4,20.2.2021,21:59:22,LS1 Einflug,1,1,1,1,S1,Eldena_L16,20.2.2021,21:59:22,203,20/02/2021,203
snip_2021_02_20_22_01_34_in.mp4,20.2.2021,22:01:35,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,20.2.2021,22:01:35,203,20/02/2021,203
snip_2021_02_20_22_01_34_out.mp4,20.2.2021,22:01:35,LS1 Ausflug,-1,0,1,0,S1,Eldena_L16,20.2.2021,22:01:35,203,20/02/2021,203
,20.2.2021,22:01:35,LS1 Ausflug,-1,0,1,0,S1,Eldena_L16,20.2.2021,22:01:35,203,20/02/2021,203
,20.2.2021,22:01:35,LS1 Ausflug,-1,0,1,0,S1,Eldena_L16,20.2.2021,22:01:35,203,20/02/2021,203
,20.2.2021,22:01:35,LS1 Einflug,1,1,1,1,S1,Eldena_L16,20.2.2021,22:01:35,203,20/02/2021,203
snip_2021_02_20_22_01_36_out.mp4,20.2.2021,22:01:38,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,20.2.2021,22:01:38,203,20/02/2021,203
,NA,NA,,0,1,1,0,S1,Eldena_L16,20.2.2021,22:01:38,203,20/02/2021,203
snip_2021_02_20_22_01_37_in.mp4,20.2.2021,22:01:38,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,20.2.2021,22:01:38,203,20/02/2021,203
