Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday,flutter error,event missed
snip_2021_02_20_19_15_03_in.mp4,20.2.2021,19:15:03,LS3 Einflug,1,1,0,1,S1,Eldena_L8,20.2.2021,19:15:03,203,20/02/2021,203,1,-1
snip_2021_02_20_20_59_19_out.mp4,20.2.2021,20:59:21,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,20.2.2021,20:59:21,203,20/02/2021,203,0,
snip_2021_02_20_21_36_11_out.mp4,20.2.2021,21:36:14,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,20.2.2021,21:36:14,203,20/02/2021,203,0,
snip_2021_02_21_03_05_06_out.mp4,21.2.2021,3:05:09,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,21.2.2021,3:05:09,204,20/02/2021,203,0,
snip_2021_02_21_03_05_10_in.mp4,21.2.2021,3:05:13,LS3 Einflug,1,1,0,1,S1,Eldena_L8,21.2.2021,3:05:13,204,20/02/2021,203,0,
,21.2.2021,11:08:06,LS3 Einflug,NA,NA,NA,NA,S1,Eldena_L8,21.2.2021,11:08:06,204,20/02/2021,203,0,
snip_2021_02_21_18_42_21_out.mp4,21.2.2021,18:42:28,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,21.2.2021,18:42:28,204,21/02/2021,204,0,
snip_2021_02_21_18_45_01_in.mp4,21.2.2021,18:45:08,LS3 Einflug,1,1,0,1,S1,Eldena_L8,21.2.2021,18:45:08,204,21/02/2021,204,0,
,21.2.2021,18:59:13,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,21.2.2021,18:59:13,204,21/02/2021,204,0,
,21.2.2021,19:05:50,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,21.2.2021,19:05:50,204,21/02/2021,204,0,
snip_2021_02_21_19_20_01_out.mp4,21.2.2021,19:20:10,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,21.2.2021,19:20:10,204,21/02/2021,204,0,
snip_2021_02_21_21_18_17_out.mp4,21.2.2021,21:18:26,LS3 Ausflug,-1,-1,1,1,S1,Eldena_L8,21.2.2021,21:18:26,204,21/02/2021,204,0,
snip_2021_02_21_21_18_19_in.mp4,21.2.2021,21:18:27,LS3 Einflug,1,1,1,1,S1,Eldena_L8,21.2.2021,21:18:27,204,21/02/2021,204,0,
snip_2021_02_21_21_41_25_out.mp4,21.2.2021,21:41:34,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,21.2.2021,21:41:34,204,21/02/2021,204,0,
snip_2021_02_21_21_41_45_in.mp4,21.2.2021,21:41:53,LS3 Einflug,1,1,0,1,S1,Eldena_L8,21.2.2021,21:41:53,204,21/02/2021,204,0,
snip_2021_02_21_22_14_19_out.mp4,21.2.2021,22:14:27,LS3 Ausflug,-1,-1,1,1,S1,Eldena_L8,21.2.2021,22:14:27,204,21/02/2021,204,0,
snip_2021_02_21_22_14_21_in.mp4,21.2.2021,22:14:29,LS3 Einflug,1,1,1,1,S1,Eldena_L8,21.2.2021,22:14:29,204,21/02/2021,204,0,
snip_2021_02_21_22_14_23_out.mp4,21.2.2021,22:14:31,LS3 Ausflug,-1,-1,1,1,S1,Eldena_L8,21.2.2021,22:14:31,204,21/02/2021,204,0,
snip_2021_02_21_22_14_25_in.mp4,21.2.2021,22:14:33,LS3 Einflug,1,1,1,1,S1,Eldena_L8,21.2.2021,22:14:33,204,21/02/2021,204,0,
