Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
snip_2021_02_20_18_59_47_in.mp4,20.2.2021,18:59:27,LS1 Einflug,1,1,1,1,S1,Friedland,20.2.2021,18:59:27,203,20/02/2021,203
snip_2021_02_20_18_59_49_out.mp4,20.2.2021,18:59:29,LS1 Ausflug,-1,-1,1,1,S1,Friedland,20.2.2021,18:59:29,203,20/02/2021,203
snip_2021_02_20_19_15_25_out.mp4,20.2.2021,19:15:05,LS1 Ausflug,-1,-1,1,1,S1,Friedland,20.2.2021,19:15:05,203,20/02/2021,203
,NA,NA,,0,1,1,0,S1,Friedland,20.2.2021,19:15:05,203,20/02/2021,203
snip_2021_02_20_20_02_32_in.mp4,20.2.2021,20:02:13,LS1 Einflug,0,-1,1,0,S1,Friedland,20.2.2021,20:02:13,203,20/02/2021,203
,NA,NA,,1,1,1,1,S1,Friedland,20.2.2021,20:02:13,203,20/02/2021,203
snip_2021_02_20_20_02_38_in.mp4,20.2.2021,20:02:18,LS1 Ausflug,-1,-1,1,1,S1,Friedland,20.2.2021,20:02:18,203,20/02/2021,203
snip_2021_02_20_20_02_38_out.mp4,20.2.2021,20:02:19,LS1 Einflug,1,1,1,1,S1,Friedland,20.2.2021,20:02:19,203,20/02/2021,203
snip_2021_02_20_20_02_42_in.mp4,20.2.2021,20:02:23,LS1 Ausflug,-1,-1,1,1,S1,Friedland,20.2.2021,20:02:23,203,20/02/2021,203
snip_2021_02_20_20_02_42_out.mp4,20.2.2021,20:02:23,LS1 Einflug,1,1,1,1,S1,Friedland,20.2.2021,20:02:23,203,20/02/2021,203
snip_2021_02_20_20_02_45_in.mp4,20.2.2021,20:02:26,LS1 Ausflug,-1,-1,1,1,S1,Friedland,20.2.2021,20:02:26,203,20/02/2021,203
snip_2021_02_20_20_02_45_out.mp4,20.2.2021,20:02:26,LS1 Einflug,1,1,1,1,S1,Friedland,20.2.2021,20:02:26,203,20/02/2021,203
snip_2021_02_20_21_42_47_in.mp4,20.2.2021,21:42:28,LS1 Einflug,0,-1,1,0,S1,Friedland,20.2.2021,21:42:28,203,20/02/2021,203
,NA,NA,,1,1,1,1,S1,Friedland,20.2.2021,21:42:28,203,20/02/2021,203
snip_2021_02_21_00_58_27_out.mp4,21.2.2021,0:58:09,LS1 Ausflug,-1,-1,1,1,S1,Friedland,21.2.2021,0:58:09,204,20/02/2021,203
,21.2.2021,0:58:09,LS1 Einflug,1,1,1,1,S1,Friedland,21.2.2021,0:58:09,204,20/02/2021,203
snip_2021_02_22_00_46_50_in.mp4,22.2.2021,0:46:39,LS1 Ausflug,-1,-1,0,1,S1,Friedland,22.2.2021,0:46:39,205,21/02/2021,204
snip_2021_02_22_00_46_50_out.mp4,22.2.2021,0:46:39,LS1 Ausflug,-1,-1,1,1,S1,Friedland,22.2.2021,0:46:39,205,21/02/2021,204
,22.2.2021,0:46:39,LS1 Einflug,1,1,1,1,S1,Friedland,22.2.2021,0:46:39,205,21/02/2021,204
,22.2.2021,0:46:39,LS1 Ausflug,-1,0,0,0,S1,Friedland,22.2.2021,0:46:39,205,21/02/2021,204
snip_2021_02_22_00_46_52_out.mp4,22.2.2021,0:46:41,LS1 Ausflug,-1,0,0,0,S1,Friedland,22.2.2021,0:46:41,205,21/02/2021,204
snip_2021_02_22_18_02_53_out.mp4,22.2.2021,18:02:47,LS1 Ausflug,-1,-1,0,1,S1,Friedland,22.2.2021,18:02:47,205,22/02/2021,205
snip_2021_02_22_18_26_40_out.mp4,22.2.2021,18:26:34,LS1 Ausflug,-1,-1,1,1,S1,Friedland,22.2.2021,18:26:34,205,22/02/2021,205
snip_2021_02_22_18_26_41_in.mp4,22.2.2021,18:26:35,LS1 Einflug,1,1,1,1,S1,Friedland,22.2.2021,18:26:35,205,22/02/2021,205
snip_2021_02_22_20_05_49_in.mp4,22.2.2021,20:05:44,LS1 Einflug,1,1,0,1,S1,Friedland,22.2.2021,20:05:44,205,22/02/2021,205
snip_2021_02_22_20_56_01_out.mp4,22.2.2021,20:55:56,LS1 Ausflug,-1,-1,1,1,S1,Friedland,22.2.2021,20:55:56,205,22/02/2021,205
,NA,NA,,0,1,1,0,S1,Friedland,22.2.2021,20:55:56,205,22/02/2021,205
snip_2021_02_22_20_56_07_out.mp4,22.2.2021,20:56:02,LS1 Ausflug,-1,-1,1,1,S1,Friedland,22.2.2021,20:56:02,205,22/02/2021,205
,NA,NA,,0,1,1,0,S1,Friedland,22.2.2021,20:56:02,205,22/02/2021,205
snip_2021_02_22_20_56_19_in.mp4,22.2.2021,20:56:14,LS1 Einflug,0,-1,1,0,S1,Friedland,22.2.2021,20:56:14,205,22/02/2021,205
,NA,NA,,1,1,1,1,S1,Friedland,22.2.2021,20:56:14,205,22/02/2021,205
snip_2021_02_22_21_01_29_in.mp4,22.2.2021,21:01:24,LS1 Einflug,0,-1,1,0,S1,Friedland,22.2.2021,21:01:24,205,22/02/2021,205
,NA,NA,,1,1,1,1,S1,Friedland,22.2.2021,21:01:24,205,22/02/2021,205
