"Video.file","Date","Time","Event","EventC","VideoC","Notes","X","Innerloop","Accuracy","Week","Site","Date_auto","Time_auto","TimeofYear","pseudodate","pseudoday"
"snip_2020_08_14_21_08_01_out.mp4","14.8.2020","20:08:46","LS1 Ausflug",-1,-1,NA,NA,0,1,"A3","Peenemuende","14.8.2020","20:08:46",13,"14/08/2020",13
"snip_2020_08_14_21_09_32_out.mp4","14.8.2020","20:10:17","LS1 Ausflug",-1,-1,NA,NA,0,1,"A3","Peenemuende","14.8.2020","20:10:17",13,"14/08/2020",13
"snip_2020_08_14_21_10_55_out.mp4","14.8.2020","20:11:40","LS1 Ausflug",-1,-1,NA,NA,1,1,"A3","Peenemuende","14.8.2020","20:11:40",13,"14/08/2020",13
"","14.8.2020","20:11:40","LS1 Einflug",1,1,NA,NA,1,1,"A3","Peenemuende","14.8.2020","20:11:40",13,"14/08/2020",13
"snip_2020_08_14_21_15_29_out.mp4","14.8.2020","20:16:14","LS1 Ausflug",-1,-1,NA,NA,0,1,"A3","Peenemuende","14.8.2020","20:16:14",13,"14/08/2020",13
"","14.8.2020","20:16:14","LS1 Ausflug",-1,0,NA,NA,0,0,"A3","Peenemuende","14.8.2020","20:16:14",13,"14/08/2020",13
"snip_2020_08_14_21_15_50_out.mp4","14.8.2020","20:16:35","LS1 Ausflug",-1,-1,NA,NA,0,1,"A3","Peenemuende","14.8.2020","20:16:35",13,"14/08/2020",13
"snip_2020_08_14_21_19_38_out.mp4","14.8.2020","20:20:22","LS1 Ausflug",-1,-1,NA,NA,0,1,"A3","Peenemuende","14.8.2020","20:20:22",13,"14/08/2020",13
"snip_2020_08_14_21_20_28_in.mp4","14.8.2020","20:21:13","LS1 Einflug",1,1,NA,NA,0,1,"A3","Peenemuende","14.8.2020","20:21:13",13,"14/08/2020",13
"snip_2020_08_14_21_20_30_in.mp4","14.8.2020","20:21:15","LS1 Einflug",1,1,NA,NA,0,1,"A3","Peenemuende","14.8.2020","20:21:15",13,"14/08/2020",13
"snip_2020_08_14_21_21_10_out.mp4","14.8.2020","20:21:54","LS1 Ausflug",-1,-1,NA,NA,0,1,"A3","Peenemuende","14.8.2020","20:21:54",13,"14/08/2020",13
"snip_2020_08_14_21_21_38_in.mp4","14.8.2020","20:22:23","LS1 Einflug",1,1,NA,NA,0,1,"A3","Peenemuende","14.8.2020","20:22:23",13,"14/08/2020",13
"snip_2020_08_14_21_23_08_out.mp4","14.8.2020","20:23:53","LS1 Ausflug",-1,-1,NA,NA,1,1,"A3","Peenemuende","14.8.2020","20:23:53",13,"14/08/2020",13
