"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-05-09,"00:06:15","LichtS","A","ein",375,"2020-05-08",1,"2020"
2020-05-09,"01:43:33","LichtS","A","aus",6213,"2020-05-08",-1,"2020"
2020-05-13,"02:01:02","LichtS","A","aus",7262,"2020-05-12",-1,"2020"
2020-05-13,"02:02:53","LichtS","A","ein",7373,"2020-05-12",1,"2020"
2020-05-14,"23:05:08","LichtS","A","aus",83108,"2020-05-14",-1,"2020"
2020-05-17,"00:30:57","LichtS","A","ein",1857,"2020-05-16",1,"2020"
2020-05-18,"00:42:49","LichtS","A","ein",2569,"2020-05-17",1,"2020"
2020-05-18,"01:00:30","LichtS","A","ein",3630,"2020-05-17",1,"2020"
2020-05-18,"02:38:07","LichtS","A","ein",9487,"2020-05-17",1,"2020"
2020-05-19,"21:17:05","LichtS","A","aus",76625,"2020-05-19",-1,"2020"
2020-05-19,"21:56:36","LichtS","A","aus",78996,"2020-05-19",-1,"2020"
2020-05-19,"22:00:27","LichtS","A","ein",79227,"2020-05-19",1,"2020"
2020-05-19,"22:08:13","LichtS","A","aus",79693,"2020-05-19",-1,"2020"
2020-05-19,"22:53:58","LichtS","A","ein",82438,"2020-05-19",1,"2020"
2020-05-19,"23:44:57","LichtS","A","aus",85497,"2020-05-19",-1,"2020"
2020-05-19,"23:52:29","LichtS","A","aus",85949,"2020-05-19",-1,"2020"
2020-05-19,"23:56:50","LichtS","A","ein",86210,"2020-05-19",1,"2020"
2020-05-19,"00:18:57","LichtS","A","ein",1137,"2020-05-18",1,"2020"
2020-05-19,"00:36:26","LichtS","A","ein",2186,"2020-05-18",1,"2020"
2020-05-19,"00:38:09","LichtS","A","aus",2289,"2020-05-18",-1,"2020"
2020-05-19,"00:38:39","LichtS","A","ein",2319,"2020-05-18",1,"2020"
2020-05-19,"01:33:07","LichtS","A","aus",5587,"2020-05-18",-1,"2020"
2020-05-19,"01:58:51","LichtS","A","ein",7131,"2020-05-18",1,"2020"
2020-05-19,"01:59:05","LichtS","A","aus",7145,"2020-05-18",-1,"2020"
2020-05-19,"02:21:21","LichtS","A","ein",8481,"2020-05-18",1,"2020"
2020-05-19,"02:31:27","LichtS","A","ein",9087,"2020-05-18",1,"2020"
2020-05-19,"02:46:23","LichtS","A","aus",9983,"2020-05-18",-1,"2020"
2020-05-19,"02:47:28","LichtS","A","ein",10048,"2020-05-18",1,"2020"
2020-05-20,"20:53:41","LichtS","A","aus",75221,"2020-05-20",-1,"2020"
2020-05-20,"21:34:12","LichtS","A","aus",77652,"2020-05-20",-1,"2020"
2020-05-20,"23:59:45","LichtS","A","aus",86385,"2020-05-20",-1,"2020"
2020-05-20,"01:40:13","LichtS","A","ein",6013,"2020-05-19",1,"2020"
2020-05-20,"01:45:53","LichtS","A","ein",6353,"2020-05-19",1,"2020"
2020-05-20,"01:52:10","LichtS","A","ein",6730,"2020-05-19",1,"2020"
2020-05-20,"02:24:48","LichtS","A","aus",8688,"2020-05-19",-1,"2020"
2020-05-20,"02:25:10","LichtS","A","ein",8710,"2020-05-19",1,"2020"
2020-05-20,"02:39:48","LichtS","A","aus",9588,"2020-05-19",-1,"2020"
2020-05-20,"02:41:05","LichtS","A","ein",9665,"2020-05-19",1,"2020"
2020-05-20,"03:26:55","LichtS","A","aus",12415,"2020-05-19",-1,"2020"
2020-05-20,"03:51:26","LichtS","A","aus",13886,"2020-05-19",-1,"2020"
2020-05-20,"04:12:07","LichtS","A","ein",15127,"2020-05-19",1,"2020"
2020-05-20,"04:54:05","LichtS","A","aus",17645,"2020-05-19",-1,"2020"
2020-05-20,"04:54:39","LichtS","A","ein",17679,"2020-05-19",1,"2020"
2020-05-20,"05:44:51","LichtS","A","aus",20691,"2020-05-19",-1,"2020"
2020-05-20,"05:47:50","LichtS","A","ein",20870,"2020-05-19",1,"2020"
2020-05-20,"05:54:29","LichtS","A","aus",21269,"2020-05-19",-1,"2020"
2020-05-20,"06:05:56","LichtS","A","ein",21956,"2020-05-19",1,"2020"
2020-05-20,"08:02:25","LichtS","A","aus",28945,"2020-05-19",-1,"2020"
2020-05-21,"20:25:37","LichtS","A","aus",73537,"2020-05-21",-1,"2020"
2020-05-21,"20:25:54","LichtS","A","aus",73554,"2020-05-21",-1,"2020"
2020-05-21,"20:25:54","LichtS","A","ein",73554,"2020-05-21",1,"2020"
2020-05-21,"20:38:37","LichtS","A","ein",74317,"2020-05-21",1,"2020"
2020-05-21,"21:20:09","LichtS","A","aus",76809,"2020-05-21",-1,"2020"
2020-05-21,"21:20:32","LichtS","A","ein",76832,"2020-05-21",1,"2020"
2020-05-21,"21:38:04","LichtS","A","aus",77884,"2020-05-21",-1,"2020"
2020-05-21,"21:47:12","LichtS","A","ein",78432,"2020-05-21",1,"2020"
2020-05-21,"22:13:47","LichtS","A","aus",80027,"2020-05-21",-1,"2020"
2020-05-21,"22:14:43","LichtS","A","ein",80083,"2020-05-21",1,"2020"
2020-05-21,"22:34:37","LichtS","A","aus",81277,"2020-05-21",-1,"2020"
2020-05-21,"22:43:46","LichtS","A","ein",81826,"2020-05-21",1,"2020"
2020-05-21,"23:08:35","LichtS","A","aus",83315,"2020-05-21",-1,"2020"
2020-05-21,"23:52:15","LichtS","A","aus",85935,"2020-05-21",-1,"2020"
2020-05-21,"23:55:35","LichtS","A","ein",86135,"2020-05-21",1,"2020"
2020-05-21,"00:00:42","LichtS","A","aus",42,"2020-05-20",-1,"2020"
2020-05-21,"00:53:16","LichtS","A","ein",3196,"2020-05-20",1,"2020"
2020-05-21,"01:08:30","LichtS","A","ein",4110,"2020-05-20",1,"2020"
2020-05-21,"01:49:29","LichtS","A","aus",6569,"2020-05-20",-1,"2020"
2020-05-21,"01:52:36","LichtS","A","ein",6756,"2020-05-20",1,"2020"
2020-05-21,"02:00:53","LichtS","A","aus",7253,"2020-05-20",-1,"2020"
