"Datum","Uhrzeit","Event","EventSec","pseudodate","EventC","Year"
2020-08-01,"18:09:24","aus",65364,"2020-08-01",-1,"2020"
2020-08-01,"18:11:38","ein",65498,"2020-08-01",1,"2020"
2020-08-01,"18:12:19","ein",65539,"2020-08-01",1,"2020"
2020-08-01,"18:19:07","ein",65947,"2020-08-01",1,"2020"
2020-08-01,"18:19:09","aus",65949,"2020-08-01",-1,"2020"
2020-08-01,"18:19:09","ein",65949,"2020-08-01",1,"2020"
2020-08-01,"18:19:12","aus",65952,"2020-08-01",-1,"2020"
2020-08-01,"18:20:09","aus",66009,"2020-08-01",-1,"2020"
2020-08-01,"18:20:10","ein",66010,"2020-08-01",1,"2020"
2020-08-01,"18:20:11","aus",66011,"2020-08-01",-1,"2020"
2020-08-01,"18:20:12","ein",66012,"2020-08-01",1,"2020"
2020-08-01,"18:20:13","aus",66013,"2020-08-01",-1,"2020"
2020-08-01,"18:20:14","ein",66014,"2020-08-01",1,"2020"
2020-08-01,"20:42:11","aus",74531,"2020-08-01",-1,"2020"
2020-08-01,"20:48:45","aus",74925,"2020-08-01",-1,"2020"
2020-08-01,"21:41:40","ein",78100,"2020-08-01",1,"2020"
2020-08-01,"21:53:57","ein",78837,"2020-08-01",1,"2020"
2020-08-01,"22:08:10","aus",79690,"2020-08-01",-1,"2020"
2020-08-01,"22:11:20","aus",79880,"2020-08-01",-1,"2020"
2020-08-01,"22:12:52","ein",79972,"2020-08-01",1,"2020"
2020-08-01,"22:26:15","ein",80775,"2020-08-01",1,"2020"
2020-08-01,"22:43:37","ein",81817,"2020-08-01",1,"2020"
2020-08-01,"22:47:26","ein",82046,"2020-08-01",1,"2020"
2020-08-01,"22:52:40","ein",82360,"2020-08-01",1,"2020"
2020-08-01,"22:56:23","ein",82583,"2020-08-01",1,"2020"
2020-08-01,"23:09:13","ein",83353,"2020-08-01",1,"2020"
2020-08-01,"23:15:44","aus",83744,"2020-08-01",-1,"2020"
2020-08-01,"23:21:44","ein",84104,"2020-08-01",1,"2020"
2020-08-01,"23:22:22","ein",84142,"2020-08-01",1,"2020"
2020-08-01,"23:23:03","aus",84183,"2020-08-01",-1,"2020"
2020-08-01,"23:24:15","ein",84255,"2020-08-01",1,"2020"
2020-08-01,"23:35:26","ein",84926,"2020-08-01",1,"2020"
2020-08-01,"23:35:46","aus",84946,"2020-08-01",-1,"2020"
2020-08-01,"23:40:25","aus",85225,"2020-08-01",-1,"2020"
2020-08-01,"23:54:27","aus",86067,"2020-08-01",-1,"2020"
2020-08-01,"23:55:10","aus",86110,"2020-08-01",-1,"2020"
2020-08-01,"23:57:56","aus",86276,"2020-08-01",-1,"2020"
2020-08-02,"00:01:31","aus",91,"2020-08-01",-1,"2020"
2020-08-02,"00:25:16","ein",1516,"2020-08-01",1,"2020"
2020-08-02,"00:41:22","ein",2482,"2020-08-01",1,"2020"
2020-08-02,"00:44:48","aus",2688,"2020-08-01",-1,"2020"
2020-08-02,"00:51:54","aus",3114,"2020-08-01",-1,"2020"
2020-08-02,"01:06:32","ein",3992,"2020-08-01",1,"2020"
2020-08-02,"01:14:12","aus",4452,"2020-08-01",-1,"2020"
2020-08-02,"01:44:45","aus",6285,"2020-08-01",-1,"2020"
2020-08-02,"01:45:52","aus",6352,"2020-08-01",-1,"2020"
2020-08-02,"01:46:03","ein",6363,"2020-08-01",1,"2020"
2020-08-02,"02:17:58","ein",8278,"2020-08-01",1,"2020"
2020-08-02,"02:19:46","aus",8386,"2020-08-01",-1,"2020"
2020-08-02,"02:20:12","aus",8412,"2020-08-01",-1,"2020"
2020-08-02,"02:45:59","ein",9959,"2020-08-01",1,"2020"
2020-08-02,"02:48:17","aus",10097,"2020-08-01",-1,"2020"
2020-08-02,"02:53:14","ein",10394,"2020-08-01",1,"2020"
2020-08-02,"03:22:47","aus",12167,"2020-08-01",-1,"2020"
2020-08-02,"03:22:48","ein",12168,"2020-08-01",1,"2020"
2020-08-02,"03:24:06","aus",12246,"2020-08-01",-1,"2020"
2020-08-02,"20:44:50","aus",74690,"2020-08-02",-1,"2020"
2020-08-02,"20:45:00","aus",74700,"2020-08-02",-1,"2020"
2020-08-02,"21:36:26","aus",77786,"2020-08-02",-1,"2020"
2020-08-02,"21:44:05","ein",78245,"2020-08-02",1,"2020"
2020-08-02,"21:53:06","ein",78786,"2020-08-02",1,"2020"
2020-08-02,"22:10:35","ein",79835,"2020-08-02",1,"2020"
2020-08-02,"22:22:45","ein",80565,"2020-08-02",1,"2020"
2020-08-02,"22:29:42","ein",80982,"2020-08-02",1,"2020"
2020-08-02,"22:40:26","ein",81626,"2020-08-02",1,"2020"
2020-08-02,"22:54:41","aus",82481,"2020-08-02",-1,"2020"
2020-08-02,"22:55:45","ein",82545,"2020-08-02",1,"2020"
2020-08-02,"23:03:57","aus",83037,"2020-08-02",-1,"2020"
2020-08-02,"23:19:23","aus",83963,"2020-08-02",-1,"2020"
2020-08-02,"23:19:59","aus",83999,"2020-08-02",-1,"2020"
2020-08-02,"23:26:53","aus",84413,"2020-08-02",-1,"2020"
2020-08-02,"23:29:31","ein",84571,"2020-08-02",1,"2020"
2020-08-02,"23:33:49","ein",84829,"2020-08-02",1,"2020"
2020-08-02,"23:41:19","ein",85279,"2020-08-02",1,"2020"
2020-08-02,"23:54:09","ein",86049,"2020-08-02",1,"2020"
2020-08-03,"00:16:03","ein",963,"2020-08-02",1,"2020"
2020-08-03,"00:46:12","aus",2772,"2020-08-02",-1,"2020"
2020-08-03,"00:50:55","aus",3055,"2020-08-02",-1,"2020"
2020-08-03,"00:53:25","ein",3205,"2020-08-02",1,"2020"
2020-08-03,"00:57:40","ein",3460,"2020-08-02",1,"2020"
2020-08-03,"01:01:38","ein",3698,"2020-08-02",1,"2020"
2020-08-03,"01:02:16","aus",3736,"2020-08-02",-1,"2020"
2020-08-03,"01:05:22","aus",3922,"2020-08-02",-1,"2020"
2020-08-03,"01:05:36","aus",3936,"2020-08-02",-1,"2020"
2020-08-03,"01:13:35","aus",4415,"2020-08-02",-1,"2020"
2020-08-03,"01:14:34","ein",4474,"2020-08-02",1,"2020"
2020-08-03,"01:34:51","aus",5691,"2020-08-02",-1,"2020"
2020-08-03,"01:35:29","ein",5729,"2020-08-02",1,"2020"
2020-08-03,"01:54:12","aus",6852,"2020-08-02",-1,"2020"
2020-08-03,"02:00:14","aus",7214,"2020-08-02",-1,"2020"
2020-08-03,"02:05:00","aus",7500,"2020-08-02",-1,"2020"
2020-08-03,"02:11:17","aus",7877,"2020-08-02",-1,"2020"
2020-08-03,"02:47:51","ein",10071,"2020-08-02",1,"2020"
2020-08-03,"02:58:12","ein",10692,"2020-08-02",1,"2020"
2020-08-03,"20:43:50","aus",74630,"2020-08-03",-1,"2020"
2020-08-03,"20:49:22","aus",74962,"2020-08-03",-1,"2020"
2020-08-03,"21:15:48","ein",76548,"2020-08-03",1,"2020"
2020-08-03,"21:35:19","aus",77719,"2020-08-03",-1,"2020"
2020-08-03,"21:41:28","ein",78088,"2020-08-03",1,"2020"
2020-08-03,"21:44:34","ein",78274,"2020-08-03",1,"2020"
2020-08-03,"22:02:42","aus",79362,"2020-08-03",-1,"2020"
2020-08-03,"22:04:32","ein",79472,"2020-08-03",1,"2020"
2020-08-03,"22:10:59","ein",79859,"2020-08-03",1,"2020"
2020-08-03,"22:12:15","ein",79935,"2020-08-03",1,"2020"
2020-08-03,"22:13:52","ein",80032,"2020-08-03",1,"2020"
2020-08-03,"22:33:50","ein",81230,"2020-08-03",1,"2020"
2020-08-03,"22:33:50","ein",81230,"2020-08-03",1,"2020"
2020-08-03,"22:40:06","ein",81606,"2020-08-03",1,"2020"
2020-08-03,"22:48:02","aus",82082,"2020-08-03",-1,"2020"
2020-08-03,"22:55:07","ein",82507,"2020-08-03",1,"2020"
2020-08-03,"22:58:02","aus",82682,"2020-08-03",-1,"2020"
2020-08-03,"23:02:44","aus",82964,"2020-08-03",-1,"2020"
2020-08-03,"23:08:05","ein",83285,"2020-08-03",1,"2020"
2020-08-03,"23:09:22","aus",83362,"2020-08-03",-1,"2020"
