"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-07-31,"23:57:39","LichtS","A","ein",86259,"2020-07-31",1,"2020"
2020-08-01,"00:28:40","LichtS","A","ein",1720,"2020-07-31",1,"2020"
2020-08-01,"00:51:53","LichtS","A","aus",3113,"2020-07-31",-1,"2020"
2020-08-01,"01:13:01","LichtS","A","aus",4381,"2020-07-31",-1,"2020"
2020-08-01,"01:47:35","LichtS","A","ein",6455,"2020-07-31",1,"2020"
2020-08-01,"01:59:29","LichtS","A","ein",7169,"2020-07-31",1,"2020"
2020-08-01,"02:04:10","LichtS","A","aus",7450,"2020-07-31",-1,"2020"
2020-08-01,"02:15:49","LichtS","A","aus",8149,"2020-07-31",-1,"2020"
2020-08-01,"22:41:36","LichtS","A","ein",81696,"2020-08-01",1,"2020"
2020-08-01,"23:13:24","LichtS","A","aus",83604,"2020-08-01",-1,"2020"
2020-08-02,"01:58:56","LichtS","A","ein",7136,"2020-08-01",1,"2020"
2020-08-02,"02:15:26","LichtS","A","aus",8126,"2020-08-01",-1,"2020"
2020-08-02,"02:42:23","LichtS","A","ein",9743,"2020-08-01",1,"2020"
2020-08-02,"12:31:52","LichtS","A","aus",45112,"2020-08-02",-1,"2020"
2020-08-02,"21:24:31","LichtS","A","aus",77071,"2020-08-02",-1,"2020"
2020-08-03,"02:17:39","LichtS","A","ein",8259,"2020-08-02",1,"2020"
2020-08-03,"21:21:44","LichtS","A","aus",76904,"2020-08-03",-1,"2020"
2020-08-03,"23:21:22","LichtS","A","ein",84082,"2020-08-03",1,"2020"
2020-08-03,"23:42:07","LichtS","A","ein",85327,"2020-08-03",1,"2020"
2020-08-04,"00:06:42","LichtS","A","aus",402,"2020-08-03",-1,"2020"
2020-08-04,"00:44:37","LichtS","A","ein",2677,"2020-08-03",1,"2020"
2020-08-04,"00:47:59","LichtS","A","aus",2879,"2020-08-03",-1,"2020"
2020-08-04,"00:56:17","LichtS","A","ein",3377,"2020-08-03",1,"2020"
2020-08-04,"01:03:59","LichtS","A","aus",3839,"2020-08-03",-1,"2020"
2020-08-04,"01:04:06","LichtS","A","aus",3846,"2020-08-03",-1,"2020"
2020-08-04,"01:07:52","LichtS","A","ein",4072,"2020-08-03",1,"2020"
2020-08-04,"01:19:48","LichtS","A","ein",4788,"2020-08-03",1,"2020"
2020-08-04,"01:24:06","LichtS","A","aus",5046,"2020-08-03",-1,"2020"
2020-08-04,"01:24:17","LichtS","A","aus",5057,"2020-08-03",-1,"2020"
2020-08-04,"01:36:02","LichtS","A","ein",5762,"2020-08-03",1,"2020"
2020-08-04,"01:48:48","LichtS","A","ein",6528,"2020-08-03",1,"2020"
2020-08-04,"01:52:23","LichtS","A","ein",6743,"2020-08-03",1,"2020"
2020-08-04,"01:53:14","LichtS","A","aus",6794,"2020-08-03",-1,"2020"
2020-08-04,"01:53:18","LichtS","A","ein",6798,"2020-08-03",1,"2020"
2020-08-04,"01:53:29","LichtS","A","aus",6809,"2020-08-03",-1,"2020"
2020-08-04,"01:53:32","LichtS","A","ein",6812,"2020-08-03",1,"2020"
2020-08-04,"01:53:35","LichtS","A","aus",6815,"2020-08-03",-1,"2020"
2020-08-04,"01:53:37","LichtS","A","ein",6817,"2020-08-03",1,"2020"
2020-08-04,"01:53:42","LichtS","A","aus",6822,"2020-08-03",-1,"2020"
2020-08-04,"01:53:52","LichtS","A","ein",6832,"2020-08-03",1,"2020"
2020-08-04,"01:54:45","LichtS","A","aus",6885,"2020-08-03",-1,"2020"
2020-08-04,"01:54:57","LichtS","A","ein",6897,"2020-08-03",1,"2020"
2020-08-04,"01:55:11","LichtS","A","aus",6911,"2020-08-03",-1,"2020"
2020-08-04,"01:55:14","LichtS","A","ein",6914,"2020-08-03",1,"2020"
2020-08-04,"01:55:21","LichtS","A","aus",6921,"2020-08-03",-1,"2020"
2020-08-04,"01:55:24","LichtS","A","ein",6924,"2020-08-03",1,"2020"
2020-08-04,"01:55:39","LichtS","A","aus",6939,"2020-08-03",-1,"2020"
2020-08-04,"01:55:56","LichtS","A","ein",6956,"2020-08-03",1,"2020"
2020-08-04,"01:56:11","LichtS","A","aus",6971,"2020-08-03",-1,"2020"
2020-08-04,"01:56:30","LichtS","A","ein",6990,"2020-08-03",1,"2020"
2020-08-04,"01:56:48","LichtS","A","aus",7008,"2020-08-03",-1,"2020"
2020-08-04,"01:57:09","LichtS","A","ein",7029,"2020-08-03",1,"2020"
2020-08-04,"02:02:44","LichtS","A","ein",7364,"2020-08-03",1,"2020"
2020-08-04,"02:03:20","LichtS","A","aus",7400,"2020-08-03",-1,"2020"
2020-08-04,"02:03:33","LichtS","A","aus",7413,"2020-08-03",-1,"2020"
2020-08-04,"02:04:08","LichtS","A","ein",7448,"2020-08-03",1,"2020"
2020-08-04,"02:16:56","LichtS","A","ein",8216,"2020-08-03",1,"2020"
2020-08-04,"02:18:18","LichtS","A","aus",8298,"2020-08-03",-1,"2020"
2020-08-04,"02:19:07","LichtS","A","ein",8347,"2020-08-03",1,"2020"
2020-08-04,"02:24:28","LichtS","A","aus",8668,"2020-08-03",-1,"2020"
2020-08-04,"02:24:53","LichtS","A","ein",8693,"2020-08-03",1,"2020"
2020-08-04,"02:24:58","LichtS","A","aus",8698,"2020-08-03",-1,"2020"
2020-08-04,"02:25:38","LichtS","A","ein",8738,"2020-08-03",1,"2020"
2020-08-04,"02:28:50","LichtS","A","aus",8930,"2020-08-03",-1,"2020"
2020-08-04,"02:30:49","LichtS","A","aus",9049,"2020-08-03",-1,"2020"
2020-08-04,"02:51:38","LichtS","A","ein",10298,"2020-08-03",1,"2020"
2020-08-04,"02:57:22","LichtS","A","aus",10642,"2020-08-03",-1,"2020"
2020-08-04,"20:38:32","LichtS","A","aus",74312,"2020-08-04",-1,"2020"
2020-08-04,"21:36:51","LichtS","A","aus",77811,"2020-08-04",-1,"2020"
2020-08-04,"23:30:01","LichtS","A","ein",84601,"2020-08-04",1,"2020"
2020-08-05,"00:31:10","LichtS","A","ein",1870,"2020-08-04",1,"2020"
2020-08-05,"00:38:42","LichtS","A","ein",2322,"2020-08-04",1,"2020"
2020-08-05,"00:49:19","LichtS","A","aus",2959,"2020-08-04",-1,"2020"
2020-08-05,"01:06:18","LichtS","A","ein",3978,"2020-08-04",1,"2020"
2020-08-05,"01:07:01","LichtS","A","aus",4021,"2020-08-04",-1,"2020"
2020-08-05,"01:07:05","LichtS","A","ein",4025,"2020-08-04",1,"2020"
2020-08-05,"01:07:34","LichtS","A","ein",4054,"2020-08-04",1,"2020"
2020-08-05,"01:15:26","LichtS","A","ein",4526,"2020-08-04",1,"2020"
2020-08-05,"01:21:34","LichtS","A","aus",4894,"2020-08-04",-1,"2020"
2020-08-05,"01:24:23","LichtS","A","aus",5063,"2020-08-04",-1,"2020"
2020-08-05,"01:24:29","LichtS","A","aus",5069,"2020-08-04",-1,"2020"
2020-08-05,"01:24:31","LichtS","A","ein",5071,"2020-08-04",1,"2020"
2020-08-05,"01:24:33","LichtS","A","aus",5073,"2020-08-04",-1,"2020"
2020-08-05,"01:24:55","LichtS","A","ein",5095,"2020-08-04",1,"2020"
2020-08-05,"01:24:57","LichtS","A","aus",5097,"2020-08-04",-1,"2020"
2020-08-05,"01:25:39","LichtS","A","ein",5139,"2020-08-04",1,"2020"
2020-08-05,"01:34:20","LichtS","A","ein",5660,"2020-08-04",1,"2020"
2020-08-05,"01:35:18","LichtS","A","aus",5718,"2020-08-04",-1,"2020"
2020-08-05,"01:56:37","LichtS","A","aus",6997,"2020-08-04",-1,"2020"
2020-08-05,"02:05:37","LichtS","A","ein",7537,"2020-08-04",1,"2020"
2020-08-05,"02:07:11","LichtS","A","aus",7631,"2020-08-04",-1,"2020"
2020-08-05,"02:09:20","LichtS","A","aus",7760,"2020-08-04",-1,"2020"
2020-08-05,"02:16:21","LichtS","A","aus",8181,"2020-08-04",-1,"2020"
2020-08-05,"02:47:28","LichtS","A","ein",10048,"2020-08-04",1,"2020"
