"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-08-01,"22:00:05","LichtS","A","aus",79205,"2020-08-01",-1,"2020"
2020-08-01,"22:00:06","LichtS","A","ein",79206,"2020-08-01",1,"2020"
2020-08-01,"22:00:08","LichtS","A","ein",79208,"2020-08-01",1,"2020"
2020-08-01,"22:00:18","LichtS","A","aus",79218,"2020-08-01",-1,"2020"
2020-08-01,"22:00:19","LichtS","A","ein",79219,"2020-08-01",1,"2020"
2020-08-01,"22:00:24","LichtS","A","aus",79224,"2020-08-01",-1,"2020"
2020-08-01,"22:00:25","LichtS","A","ein",79225,"2020-08-01",1,"2020"
2020-08-01,"22:55:17","LichtS","A","ein",82517,"2020-08-01",1,"2020"
2020-08-01,"23:27:20","LichtS","A","aus",84440,"2020-08-01",-1,"2020"
2020-08-01,"23:27:29","LichtS","A","aus",84449,"2020-08-01",-1,"2020"
2020-08-02,"20:49:43","LichtS","A","aus",74983,"2020-08-02",-1,"2020"
2020-08-02,"22:45:48","LichtS","A","ein",81948,"2020-08-02",1,"2020"
2020-08-02,"23:11:33","LichtS","A","aus",83493,"2020-08-02",-1,"2020"
2020-08-02,"23:11:33","LichtS","A","aus",83493,"2020-08-02",-1,"2020"
2020-08-03,"01:39:23","LichtS","A","ein",5963,"2020-08-02",1,"2020"
2020-08-03,"01:58:09","LichtS","A","aus",7089,"2020-08-02",-1,"2020"
2020-08-03,"02:36:41","LichtS","A","ein",9401,"2020-08-02",1,"2020"
2020-08-03,"03:17:37","LichtS","A","ein",11857,"2020-08-02",1,"2020"
2020-08-03,"03:17:45","LichtS","A","aus",11865,"2020-08-02",-1,"2020"
2020-08-04,"00:34:02","LichtS","A","ein",2042,"2020-08-03",1,"2020"
2020-08-04,"01:49:56","LichtS","A","aus",6596,"2020-08-03",-1,"2020"
2020-08-04,"02:13:07","LichtS","A","ein",7987,"2020-08-03",1,"2020"
2020-08-04,"02:29:49","LichtS","A","ein",8989,"2020-08-03",1,"2020"
2020-08-04,"02:34:33","LichtS","A","aus",9273,"2020-08-03",-1,"2020"
2020-08-04,"02:34:33","LichtS","A","ein",9273,"2020-08-03",1,"2020"
2020-08-04,"02:34:33","LichtS","A","ein",9273,"2020-08-03",1,"2020"
2020-08-04,"02:34:54","LichtS","A","aus",9294,"2020-08-03",-1,"2020"
2020-08-04,"03:17:37","LichtS","A","aus",11857,"2020-08-03",-1,"2020"
2020-08-04,"03:17:47","LichtS","A","aus",11867,"2020-08-03",-1,"2020"
2020-08-05,"02:19:28","LichtS","A","ein",8368,"2020-08-04",1,"2020"
2020-08-05,"03:06:40","LichtS","A","aus",11200,"2020-08-04",-1,"2020"
2020-08-05,"03:06:40","LichtS","A","ein",11200,"2020-08-04",1,"2020"
2020-08-05,"03:06:44","LichtS","A","aus",11204,"2020-08-04",-1,"2020"
2020-08-05,"21:56:47","LichtS","A","ein",79007,"2020-08-05",1,"2020"
2020-08-05,"22:18:42","LichtS","A","aus",80322,"2020-08-05",-1,"2020"
2020-08-05,"22:36:03","LichtS","A","ein",81363,"2020-08-05",1,"2020"
2020-08-06,"00:35:13","LichtS","A","ein",2113,"2020-08-05",1,"2020"
2020-08-06,"00:55:48","LichtS","A","aus",3348,"2020-08-05",-1,"2020"
2020-08-06,"01:38:29","LichtS","A","aus",5909,"2020-08-05",-1,"2020"
2020-08-06,"02:47:10","LichtS","A","ein",10030,"2020-08-05",1,"2020"
2020-08-06,"02:58:49","LichtS","A","aus",10729,"2020-08-05",-1,"2020"
2020-08-06,"22:19:58","LichtS","A","ein",80398,"2020-08-06",1,"2020"
2020-08-06,"23:12:52","LichtS","A","aus",83572,"2020-08-06",-1,"2020"
2020-08-06,"23:30:41","LichtS","A","ein",84641,"2020-08-06",1,"2020"
2020-08-06,"23:39:23","LichtS","A","aus",85163,"2020-08-06",-1,"2020"
2020-08-06,"23:39:23","LichtS","A","ein",85163,"2020-08-06",1,"2020"
2020-08-06,"23:43:48","LichtS","A","aus",85428,"2020-08-06",-1,"2020"
2020-08-06,"23:44:25","LichtS","A","ein",85465,"2020-08-06",1,"2020"
2020-08-06,"23:44:33","LichtS","A","aus",85473,"2020-08-06",-1,"2020"
2020-08-06,"23:44:34","LichtS","A","aus",85474,"2020-08-06",-1,"2020"
2020-08-06,"23:44:36","LichtS","A","aus",85476,"2020-08-06",-1,"2020"
2020-08-06,"23:44:42","LichtS","A","ein",85482,"2020-08-06",1,"2020"
2020-08-06,"23:44:55","LichtS","A","ein",85495,"2020-08-06",1,"2020"
2020-08-06,"23:45:00","LichtS","A","aus",85500,"2020-08-06",-1,"2020"
2020-08-06,"23:47:26","LichtS","A","ein",85646,"2020-08-06",1,"2020"
2020-08-06,"23:57:58","LichtS","A","ein",86278,"2020-08-06",1,"2020"
2020-08-07,"00:01:48","LichtS","A","aus",108,"2020-08-06",-1,"2020"
2020-08-07,"00:01:50","LichtS","A","ein",110,"2020-08-06",1,"2020"
2020-08-07,"00:02:50","LichtS","A","ein",170,"2020-08-06",1,"2020"
2020-08-07,"00:02:52","LichtS","A","aus",172,"2020-08-06",-1,"2020"
2020-08-07,"00:02:52","LichtS","A","aus",172,"2020-08-06",-1,"2020"
2020-08-07,"00:02:53","LichtS","A","ein",173,"2020-08-06",1,"2020"
2020-08-07,"00:02:53","LichtS","A","aus",173,"2020-08-06",-1,"2020"
2020-08-07,"00:02:53","LichtS","A","ein",173,"2020-08-06",1,"2020"
2020-08-07,"00:02:56","LichtS","A","ein",176,"2020-08-06",1,"2020"
2020-08-07,"00:02:58","LichtS","A","aus",178,"2020-08-06",-1,"2020"
2020-08-07,"00:03:02","LichtS","A","aus",182,"2020-08-06",-1,"2020"
2020-08-07,"00:03:02","LichtS","A","ein",182,"2020-08-06",1,"2020"
2020-08-07,"00:03:02","LichtS","A","aus",182,"2020-08-06",-1,"2020"
2020-08-07,"00:03:05","LichtS","A","aus",185,"2020-08-06",-1,"2020"
2020-08-07,"00:05:36","LichtS","A","ein",336,"2020-08-06",1,"2020"
2020-08-07,"00:10:55","LichtS","A","ein",655,"2020-08-06",1,"2020"
2020-08-07,"00:11:26","LichtS","A","aus",686,"2020-08-06",-1,"2020"
2020-08-07,"00:14:00","LichtS","A","ein",840,"2020-08-06",1,"2020"
2020-08-07,"00:14:04","LichtS","A","aus",844,"2020-08-06",-1,"2020"
2020-08-07,"00:23:00","LichtS","A","ein",1380,"2020-08-06",1,"2020"
2020-08-07,"00:30:59","LichtS","A","aus",1859,"2020-08-06",-1,"2020"
2020-08-07,"01:54:23","LichtS","A","ein",6863,"2020-08-06",1,"2020"
2020-08-07,"02:36:05","LichtS","A","ein",9365,"2020-08-06",1,"2020"
