"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-05-14,"21:23:27","LichtS","A","ein",77007,"2020-05-14",1,"2020"
2020-05-14,"21:30:07","LichtS","A","ein",77407,"2020-05-14",1,"2020"
2020-05-14,"21:38:44","LichtS","A","aus",77924,"2020-05-14",-1,"2020"
2020-05-14,"21:41:10","LichtS","A","aus",78070,"2020-05-14",-1,"2020"
2020-05-14,"21:46:03","LichtS","A","aus",78363,"2020-05-14",-1,"2020"
2020-05-14,"21:46:07","LichtS","A","aus",78367,"2020-05-14",-1,"2020"
2020-05-14,"21:49:15","LichtS","A","aus",78555,"2020-05-14",-1,"2020"
2020-05-14,"21:49:33","LichtS","A","aus",78573,"2020-05-14",-1,"2020"
2020-05-14,"21:50:52","LichtS","A","aus",78652,"2020-05-14",-1,"2020"
2020-05-14,"21:59:26","LichtS","A","aus",79166,"2020-05-14",-1,"2020"
2020-05-14,"22:15:49","LichtS","A","ein",80149,"2020-05-14",1,"2020"
2020-05-14,"22:36:36","LichtS","A","ein",81396,"2020-05-14",1,"2020"
2020-05-14,"22:39:30","LichtS","A","aus",81570,"2020-05-14",-1,"2020"
2020-05-14,"22:39:42","LichtS","A","ein",81582,"2020-05-14",1,"2020"
2020-05-14,"22:40:05","LichtS","A","ein",81605,"2020-05-14",1,"2020"
2020-05-14,"22:44:26","LichtS","A","ein",81866,"2020-05-14",1,"2020"
2020-05-14,"22:45:02","LichtS","A","ein",81902,"2020-05-14",1,"2020"
2020-05-14,"22:56:29","LichtS","A","ein",82589,"2020-05-14",1,"2020"
2020-05-14,"22:58:31","LichtS","A","ein",82711,"2020-05-14",1,"2020"
2020-05-14,"23:04:04","LichtS","A","ein",83044,"2020-05-14",1,"2020"
2020-05-14,"23:12:10","LichtS","A","ein",83530,"2020-05-14",1,"2020"
2020-05-14,"23:19:11","LichtS","A","aus",83951,"2020-05-14",-1,"2020"
2020-05-14,"23:31:50","LichtS","A","aus",84710,"2020-05-14",-1,"2020"
2020-05-14,"23:33:11","LichtS","A","ein",84791,"2020-05-14",1,"2020"
2020-05-14,"23:55:02","LichtS","A","aus",86102,"2020-05-14",-1,"2020"
2020-05-14,"23:56:13","LichtS","A","aus",86173,"2020-05-14",-1,"2020"
2020-05-15,"00:01:21","LichtS","A","ein",81,"2020-05-14",1,"2020"
2020-05-15,"00:06:30","LichtS","A","ein",390,"2020-05-14",1,"2020"
2020-05-15,"00:09:19","LichtS","A","ein",559,"2020-05-14",1,"2020"
2020-05-15,"00:10:08","LichtS","A","ein",608,"2020-05-14",1,"2020"
2020-05-15,"00:14:35","LichtS","A","aus",875,"2020-05-14",-1,"2020"
2020-05-15,"00:19:07","LichtS","A","ein",1147,"2020-05-14",1,"2020"
2020-05-15,"00:20:57","LichtS","A","ein",1257,"2020-05-14",1,"2020"
2020-05-15,"00:22:10","LichtS","A","ein",1330,"2020-05-14",1,"2020"
2020-05-15,"00:22:22","LichtS","A","ein",1342,"2020-05-14",1,"2020"
2020-05-15,"00:24:11","LichtS","A","ein",1451,"2020-05-14",1,"2020"
2020-05-15,"00:27:09","LichtS","A","ein",1629,"2020-05-14",1,"2020"
2020-05-15,"00:30:32","LichtS","A","ein",1832,"2020-05-14",1,"2020"
2020-05-15,"00:32:37","LichtS","A","aus",1957,"2020-05-14",-1,"2020"
2020-05-15,"00:35:45","LichtS","A","ein",2145,"2020-05-14",1,"2020"
2020-05-15,"00:36:18","LichtS","A","aus",2178,"2020-05-14",-1,"2020"
2020-05-15,"00:38:15","LichtS","A","ein",2295,"2020-05-14",1,"2020"
2020-05-15,"00:48:01","LichtS","A","ein",2881,"2020-05-14",1,"2020"
2020-05-15,"01:01:58","LichtS","A","ein",3718,"2020-05-14",1,"2020"
2020-05-15,"01:04:22","LichtS","A","ein",3862,"2020-05-14",1,"2020"
2020-05-15,"01:06:52","LichtS","A","aus",4012,"2020-05-14",-1,"2020"
2020-05-15,"01:06:53","LichtS","A","ein",4013,"2020-05-14",1,"2020"
2020-05-15,"01:08:56","LichtS","A","aus",4136,"2020-05-14",-1,"2020"
2020-05-15,"01:22:21","LichtS","A","ein",4941,"2020-05-14",1,"2020"
2020-05-15,"01:23:41","LichtS","A","ein",5021,"2020-05-14",1,"2020"
2020-05-15,"01:28:37","LichtS","A","ein",5317,"2020-05-14",1,"2020"
2020-05-15,"01:31:32","LichtS","A","aus",5492,"2020-05-14",-1,"2020"
2020-05-15,"01:31:52","LichtS","A","aus",5512,"2020-05-14",-1,"2020"
2020-05-15,"01:37:13","LichtS","A","ein",5833,"2020-05-14",1,"2020"
2020-05-15,"01:42:52","LichtS","A","ein",6172,"2020-05-14",1,"2020"
2020-05-15,"01:46:38","LichtS","A","ein",6398,"2020-05-14",1,"2020"
2020-05-15,"01:46:38","LichtS","A","ein",6398,"2020-05-14",1,"2020"
2020-05-15,"01:47:44","LichtS","A","aus",6464,"2020-05-14",-1,"2020"
2020-05-15,"01:56:43","LichtS","A","aus",7003,"2020-05-14",-1,"2020"
2020-05-15,"02:02:01","LichtS","A","aus",7321,"2020-05-14",-1,"2020"
2020-05-15,"02:02:04","LichtS","A","aus",7324,"2020-05-14",-1,"2020"
2020-05-15,"02:02:20","LichtS","A","aus",7340,"2020-05-14",-1,"2020"
2020-05-15,"02:02:20","LichtS","A","aus",7340,"2020-05-14",-1,"2020"
2020-05-15,"02:02:32","LichtS","A","ein",7352,"2020-05-14",1,"2020"
2020-05-15,"02:03:32","LichtS","A","ein",7412,"2020-05-14",1,"2020"
2020-05-15,"02:12:19","LichtS","A","ein",7939,"2020-05-14",1,"2020"
2020-05-15,"02:13:20","LichtS","A","ein",8000,"2020-05-14",1,"2020"
2020-05-15,"02:18:02","LichtS","A","ein",8282,"2020-05-14",1,"2020"
2020-05-15,"02:25:13","LichtS","A","ein",8713,"2020-05-14",1,"2020"
2020-05-15,"02:41:37","LichtS","A","ein",9697,"2020-05-14",1,"2020"
2020-05-15,"02:41:37","LichtS","A","ein",9697,"2020-05-14",1,"2020"
2020-05-15,"02:51:26","LichtS","A","aus",10286,"2020-05-14",-1,"2020"
2020-05-15,"20:30:27","LichtS","A","aus",73827,"2020-05-15",-1,"2020"
2020-05-15,"20:32:15","LichtS","A","aus",73935,"2020-05-15",-1,"2020"
2020-05-15,"20:32:22","LichtS","A","ein",73942,"2020-05-15",1,"2020"
2020-05-15,"20:33:55","LichtS","A","aus",74035,"2020-05-15",-1,"2020"
2020-05-15,"20:46:41","LichtS","A","ein",74801,"2020-05-15",1,"2020"
2020-05-15,"21:02:05","LichtS","A","aus",75725,"2020-05-15",-1,"2020"
2020-05-15,"21:05:52","LichtS","A","aus",75952,"2020-05-15",-1,"2020"
2020-05-15,"21:06:15","LichtS","A","aus",75975,"2020-05-15",-1,"2020"
2020-05-15,"21:06:43","LichtS","A","aus",76003,"2020-05-15",-1,"2020"
2020-05-15,"21:07:08","LichtS","A","aus",76028,"2020-05-15",-1,"2020"
2020-05-15,"21:09:51","LichtS","A","aus",76191,"2020-05-15",-1,"2020"
2020-05-15,"21:14:20","LichtS","A","aus",76460,"2020-05-15",-1,"2020"
2020-05-15,"21:15:16","LichtS","A","aus",76516,"2020-05-15",-1,"2020"
2020-05-15,"21:15:54","LichtS","A","aus",76554,"2020-05-15",-1,"2020"
2020-05-15,"21:16:50","LichtS","A","aus",76610,"2020-05-15",-1,"2020"
2020-05-15,"21:16:50","LichtS","A","ein",76610,"2020-05-15",1,"2020"
2020-05-15,"21:24:43","LichtS","A","ein",77083,"2020-05-15",1,"2020"
2020-05-15,"21:24:43","LichtS","A","aus",77083,"2020-05-15",-1,"2020"
2020-05-15,"21:30:02","LichtS","A","aus",77402,"2020-05-15",-1,"2020"
2020-05-15,"21:30:02","LichtS","A","aus",77402,"2020-05-15",-1,"2020"
2020-05-15,"21:30:07","LichtS","A","aus",77407,"2020-05-15",-1,"2020"
2020-05-15,"21:30:08","LichtS","A","ein",77408,"2020-05-15",1,"2020"
2020-05-15,"21:38:27","LichtS","A","aus",77907,"2020-05-15",-1,"2020"
2020-05-15,"21:38:27","LichtS","A","aus",77907,"2020-05-15",-1,"2020"
2020-05-15,"21:38:27","LichtS","A","ein",77907,"2020-05-15",1,"2020"
2020-05-15,"21:39:36","LichtS","A","aus",77976,"2020-05-15",-1,"2020"
2020-05-15,"21:45:17","LichtS","A","aus",78317,"2020-05-15",-1,"2020"
2020-05-15,"21:46:58","LichtS","A","aus",78418,"2020-05-15",-1,"2020"
2020-05-15,"21:49:25","LichtS","A","aus",78565,"2020-05-15",-1,"2020"
2020-05-15,"21:49:46","LichtS","A","aus",78586,"2020-05-15",-1,"2020"
2020-05-15,"21:52:16","LichtS","A","aus",78736,"2020-05-15",-1,"2020"
2020-05-15,"21:53:43","LichtS","A","aus",78823,"2020-05-15",-1,"2020"
2020-05-15,"21:55:27","LichtS","A","aus",78927,"2020-05-15",-1,"2020"
2020-05-15,"22:03:34","LichtS","A","ein",79414,"2020-05-15",1,"2020"
2020-05-15,"22:08:04","LichtS","A","aus",79684,"2020-05-15",-1,"2020"
