"Datum","Uhrzeit","Event","EventSec","pseudodate","EventC","Year"
2018-03-26,"20:31:42","aus",73902,"2018-03-26",-1,"2018"
2018-03-26,"20:37:02","aus",74222,"2018-03-26",-1,"2018"
2018-03-26,"20:37:04","ein",74224,"2018-03-26",1,"2018"
2018-03-26,"20:37:33","aus",74253,"2018-03-26",-1,"2018"
2018-03-26,"20:37:41","aus",74261,"2018-03-26",-1,"2018"
2018-03-26,"20:39:03","aus",74343,"2018-03-26",-1,"2018"
2018-03-26,"20:39:33","aus",74373,"2018-03-26",-1,"2018"
2018-03-26,"20:40:27","ein",74427,"2018-03-26",1,"2018"
2018-03-26,"20:43:17","aus",74597,"2018-03-26",-1,"2018"
2018-03-26,"20:44:14","aus",74654,"2018-03-26",-1,"2018"
2018-03-26,"20:45:52","aus",74752,"2018-03-26",-1,"2018"
2018-03-26,"20:46:29","ein",74789,"2018-03-26",1,"2018"
2018-03-26,"20:46:45","aus",74805,"2018-03-26",-1,"2018"
2018-03-26,"20:47:07","ein",74827,"2018-03-26",1,"2018"
2018-03-26,"20:47:34","ein",74854,"2018-03-26",1,"2018"
2018-03-26,"20:47:39","aus",74859,"2018-03-26",-1,"2018"
2018-03-26,"20:47:43","aus",74863,"2018-03-26",-1,"2018"
2018-03-26,"20:48:38","ein",74918,"2018-03-26",1,"2018"
2018-03-26,"20:51:29","aus",75089,"2018-03-26",-1,"2018"
2018-03-26,"20:55:07","aus",75307,"2018-03-26",-1,"2018"
2018-03-26,"21:01:41","aus",75701,"2018-03-26",-1,"2018"
2018-03-26,"21:31:28","ein",77488,"2018-03-26",1,"2018"
2018-03-26,"21:31:32","aus",77492,"2018-03-26",-1,"2018"
2018-03-26,"21:31:33","ein",77493,"2018-03-26",1,"2018"
2018-03-26,"21:32:27","aus",77547,"2018-03-26",-1,"2018"
2018-03-26,"21:39:03","aus",77943,"2018-03-26",-1,"2018"
2018-03-26,"21:51:07","aus",78667,"2018-03-26",-1,"2018"
2018-03-26,"21:53:26","aus",78806,"2018-03-26",-1,"2018"
2018-03-27,"00:05:39","aus",339,"2018-03-26",-1,"2018"
2018-03-27,"00:24:54","ein",1494,"2018-03-26",1,"2018"
2018-03-27,"01:34:09","aus",5649,"2018-03-26",-1,"2018"
2018-03-27,"01:38:59","aus",5939,"2018-03-26",-1,"2018"
2018-03-27,"01:44:12","ein",6252,"2018-03-26",1,"2018"
2018-03-27,"02:16:58","aus",8218,"2018-03-26",-1,"2018"
2018-03-27,"02:19:32","ein",8372,"2018-03-26",1,"2018"
2018-03-27,"02:23:12","ein",8592,"2018-03-26",1,"2018"
2018-03-27,"02:57:29","ein",10649,"2018-03-26",1,"2018"
2018-03-27,"03:02:47","ein",10967,"2018-03-26",1,"2018"
2018-03-27,"03:13:12","aus",11592,"2018-03-26",-1,"2018"
2018-03-27,"04:57:43","ein",17863,"2018-03-26",1,"2018"
2018-03-27,"05:21:14","aus",19274,"2018-03-26",-1,"2018"
2018-03-27,"19:59:48","aus",71988,"2018-03-27",-1,"2018"
2018-03-27,"19:59:59","aus",71999,"2018-03-27",-1,"2018"
2018-03-27,"19:59:59","ein",71999,"2018-03-27",1,"2018"
2018-03-27,"20:00:00","aus",72000,"2018-03-27",-1,"2018"
2018-03-27,"20:09:36","aus",72576,"2018-03-27",-1,"2018"
2018-03-27,"20:25:43","aus",73543,"2018-03-27",-1,"2018"
2018-03-27,"20:25:43","ein",73543,"2018-03-27",1,"2018"
2018-03-27,"20:25:58","aus",73558,"2018-03-27",-1,"2018"
2018-03-27,"20:38:20","aus",74300,"2018-03-27",-1,"2018"
2018-03-27,"20:39:50","aus",74390,"2018-03-27",-1,"2018"
2018-03-27,"20:40:02","ein",74402,"2018-03-27",1,"2018"
2018-03-27,"20:40:08","aus",74408,"2018-03-27",-1,"2018"
2018-03-27,"20:57:31","aus",75451,"2018-03-27",-1,"2018"
2018-03-27,"21:05:58","aus",75958,"2018-03-27",-1,"2018"
2018-03-27,"21:06:11","ein",75971,"2018-03-27",1,"2018"
2018-03-27,"21:06:27","aus",75987,"2018-03-27",-1,"2018"
2018-03-27,"21:06:28","ein",75988,"2018-03-27",1,"2018"
2018-03-27,"21:07:30","aus",76050,"2018-03-27",-1,"2018"
2018-03-27,"21:22:23","ein",76943,"2018-03-27",1,"2018"
2018-03-27,"21:25:22","aus",77122,"2018-03-27",-1,"2018"
2018-03-27,"21:50:50","aus",78650,"2018-03-27",-1,"2018"
2018-03-27,"21:50:50","aus",78650,"2018-03-27",-1,"2018"
2018-03-27,"21:50:53","aus",78653,"2018-03-27",-1,"2018"
2018-03-27,"21:54:10","aus",78850,"2018-03-27",-1,"2018"
2018-03-27,"21:59:19","aus",79159,"2018-03-27",-1,"2018"
2018-03-27,"22:47:08","aus",82028,"2018-03-27",-1,"2018"
2018-03-27,"23:14:03","aus",83643,"2018-03-27",-1,"2018"
2018-03-27,"23:26:51","ein",84411,"2018-03-27",1,"2018"
2018-03-27,"23:32:07","ein",84727,"2018-03-27",1,"2018"
2018-03-27,"23:38:16","aus",85096,"2018-03-27",-1,"2018"
2018-03-27,"23:38:25","ein",85105,"2018-03-27",1,"2018"
2018-03-27,"23:46:27","ein",85587,"2018-03-27",1,"2018"
2018-03-27,"23:56:03","ein",86163,"2018-03-27",1,"2018"
2018-03-27,"23:58:49","aus",86329,"2018-03-27",-1,"2018"
2018-03-28,"00:46:38","aus",2798,"2018-03-27",-1,"2018"
2018-03-28,"01:24:52","aus",5092,"2018-03-27",-1,"2018"
2018-03-28,"01:31:25","aus",5485,"2018-03-27",-1,"2018"
2018-03-28,"01:32:06","ein",5526,"2018-03-27",1,"2018"
2018-03-28,"03:12:06","ein",11526,"2018-03-27",1,"2018"
2018-03-28,"03:12:11","aus",11531,"2018-03-27",-1,"2018"
2018-03-28,"20:11:53","aus",72713,"2018-03-28",-1,"2018"
2018-03-28,"20:22:14","aus",73334,"2018-03-28",-1,"2018"
2018-03-28,"20:38:03","aus",74283,"2018-03-28",-1,"2018"
2018-03-28,"20:55:07","aus",75307,"2018-03-28",-1,"2018"
2018-03-28,"21:04:20","aus",75860,"2018-03-28",-1,"2018"
2018-03-28,"21:04:21","ein",75861,"2018-03-28",1,"2018"
2018-03-28,"21:04:29","aus",75869,"2018-03-28",-1,"2018"
2018-03-28,"21:05:42","ein",75942,"2018-03-28",1,"2018"
2018-03-28,"21:08:35","aus",76115,"2018-03-28",-1,"2018"
2018-03-28,"21:35:53","ein",77753,"2018-03-28",1,"2018"
2018-03-28,"21:46:06","aus",78366,"2018-03-28",-1,"2018"
2018-03-28,"21:46:58","ein",78418,"2018-03-28",1,"2018"
2018-03-28,"22:50:11","aus",82211,"2018-03-28",-1,"2018"
2018-03-29,"00:18:22","aus",1102,"2018-03-28",-1,"2018"
2018-03-29,"00:18:36","ein",1116,"2018-03-28",1,"2018"
2018-03-29,"02:18:22","aus",8302,"2018-03-28",-1,"2018"
2018-03-29,"02:19:10","ein",8350,"2018-03-28",1,"2018"
2018-03-29,"20:13:02","aus",72782,"2018-03-29",-1,"2018"
2018-03-29,"20:15:37","aus",72937,"2018-03-29",-1,"2018"
