"Datum","Uhrzeit","Event","EventSec","EventC","pseudodate","Year"
2020-03-13,"19:01:35","aus",68495,-1,"2020-03-13","2020"
2020-03-13,"19:01:41","ein",68501,1,"2020-03-13","2020"
2020-03-13,"19:04:19","aus",68659,-1,"2020-03-13","2020"
2020-03-13,"19:04:45","ein",68685,1,"2020-03-13","2020"
2020-03-13,"19:14:01","aus",69241,-1,"2020-03-13","2020"
2020-03-13,"19:14:07","aus",69247,-1,"2020-03-13","2020"
2020-03-13,"19:14:31","ein",69271,1,"2020-03-13","2020"
2020-03-13,"19:22:54","aus",69774,-1,"2020-03-13","2020"
2020-03-13,"19:22:54","aus",69774,-1,"2020-03-13","2020"
2020-03-13,"19:23:06","ein",69786,1,"2020-03-13","2020"
2020-03-13,"19:26:50","aus",70010,-1,"2020-03-13","2020"
2020-03-13,"19:29:36","aus",70176,-1,"2020-03-13","2020"
2020-03-13,"19:29:44","aus",70184,-1,"2020-03-13","2020"
2020-03-13,"19:29:44","ein",70184,1,"2020-03-13","2020"
2020-03-13,"19:37:58","aus",70678,-1,"2020-03-13","2020"
2020-03-13,"19:38:14","ein",70694,1,"2020-03-13","2020"
2020-03-13,"19:44:48","aus",71088,-1,"2020-03-13","2020"
2020-03-13,"19:45:28","aus",71128,-1,"2020-03-13","2020"
2020-03-13,"19:45:54","ein",71154,1,"2020-03-13","2020"
2020-03-13,"19:46:29","ein",71189,1,"2020-03-13","2020"
2020-03-13,"20:00:30","aus",72030,-1,"2020-03-13","2020"
2020-03-13,"20:00:35","ein",72035,1,"2020-03-13","2020"
2020-03-13,"20:03:54","aus",72234,-1,"2020-03-13","2020"
2020-03-13,"20:03:54","aus",72234,-1,"2020-03-13","2020"
2020-03-13,"20:04:04","ein",72244,1,"2020-03-13","2020"
2020-03-13,"20:07:12","aus",72432,-1,"2020-03-13","2020"
2020-03-13,"20:07:17","aus",72437,-1,"2020-03-13","2020"
2020-03-13,"20:07:50","ein",72470,1,"2020-03-13","2020"
2020-03-13,"20:13:30","aus",72810,-1,"2020-03-13","2020"
2020-03-13,"20:21:47","aus",73307,-1,"2020-03-13","2020"
2020-03-13,"20:31:04","ein",73864,1,"2020-03-13","2020"
2020-03-13,"20:32:35","aus",73955,-1,"2020-03-13","2020"
2020-03-13,"20:32:40","ein",73960,1,"2020-03-13","2020"
2020-03-13,"20:47:11","aus",74831,-1,"2020-03-13","2020"
2020-03-13,"21:05:44","aus",75944,-1,"2020-03-13","2020"
2020-03-13,"21:11:56","ein",76316,1,"2020-03-13","2020"
2020-03-13,"21:17:01","ein",76621,1,"2020-03-13","2020"
2020-03-13,"21:34:43","aus",77683,-1,"2020-03-13","2020"
2020-03-13,"21:38:58","aus",77938,-1,"2020-03-13","2020"
2020-03-13,"21:39:07","ein",77947,1,"2020-03-13","2020"
