"Site","year","start","end","estimate","total_passes","earlysummer_passes","autumn_passes"
"Anklam","2021","2021-01-19","2021-04-30","311","2611","1454","12497"
"Demmin","2021","2021-02-17","2021-04-19","189","1223","661","13040"
"Peenemuende","2021","2021-02-23","2021-04-20","292","2846","5126","21653"
"Friedland","2021","2021-02-21","2021-04-23","225","4672","1069","47584"
"Eldena","2016","2016-01-29","2016-04-20","622","3860","3426","10567"
"Eldena","2017","2017-01-14","2017-04-30","597","6321","2215","33596"
"Eldena","2018","2018-03-05","2018-04-25","498","3558","4107","30763"
"Eldena","2019","2019-01-04","2019-04-25","593","5067","1108","34859"
"Eldena","2020","2020-01-08","2020-04-21","609","5199","1166","29197"
"Eldena","2021","2021-01-20","2021-05-09","649","4115","1381","17484"
"Baumberge1","2016","2016-01-24","2016-04-28","7126","28848","45489","375974"
"Baumberge1","2017","2017-01-26","2017-04-29","7189","37993","42168","105538"
"Baumberge1","2018","2018-01-20","2018-04-17","7444","19828","69117","253870"
"Baumberge1","2019","2019-01-25","2019-04-22","7705","57335","76472","330309"
"Baumberge1","2020","2020-01-26","2020-04-20","7723","48839","65985","288244"
"Trollenhagen","2016","2016-01-31","2016-04-26","3726","30842","27623","286560"
"Trollenhagen","2017","2017-02-16","2017-04-29","3905","38823","20414","211672"
"Trollenhagen","2018","2018-01-19","2018-04-23","2730","15828","22570","58082"
"Trollenhagen","2019","2019-02-07","2019-04-22","3228","34714","21095","173622"
"Trollenhagen","2020","2020-01-13","2020-04-21","3684","27396","20559","229997"
"Trollenhagen","2021","2021-02-13","2021-05-03","3642","23754","16087","180100"
"Comthurey","2021","2021-02-21","2021-04-20","115","1377","2948","13650"
"Putbus","2019","2019-02-15","2019-04-08","204","1530","399","4734"
"Strasburg","2021","2021-02-14","2021-04-29","735","5369","5","38005"
"Baumberge2","2016","2016-01-23","2016-04-29","549","1661","2455","17753"
"Baumberge2","2017","2017-01-28","2017-05-01","664","2322","10435","27915"
"Baumberge2","2018","2018-01-21","2018-04-21","937","3249","6620","29276"
"Baumberge2","2019","2019-01-31","2019-04-26","818","6506","3277","19499"
"Baumberge2","2020","2020-01-08","2020-04-22","849","5167","6759","36744"
"Baumberge2","2021","2021-01-16","2021-04-23","958","3508","1449","25370"
"Kalkberghoehle","2020","2020-01-02","2020-04-30","33164","76850","36435","527046"
"Eldena_L8","2021","2021-02-19","2021-05-09","377","1225","491","4814"
"Eldena_L16","2021","2021-02-19","2021-05-04","382","3776","1086","27871"
